Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
ВПС Царицыно;Машина с носилками;20.09.2022;20.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;20.09.2022;20.09.2022
ДСУ Коломенское;Машина с носилками;20.09.2022;23.09.2022
ДСУ Люблино;Машина с носилками;20.09.2022;22.09.2022
ВПС Куркино;Машина с носилками;20.09.2022;21.09.2022
ВПС Дегунино;Машина с носилками;20.09.2022;21.09.2022
Координационный центр;Скорая помощь (Центр);20.09.2022;20.09.2022
Координационный центр;Скорая помощь (Центр);20.09.2022;20.09.2022
Отдел МТО;Легковой административный транспорт;21.09.2022;21.09.2022
ВПС Савеловский;Машина с носилками;21.09.2022;21.09.2022
ВПС Перово;Машина с носилками;21.09.2022;21.09.2022
ВПС Вороново;Машина с носилками;21.09.2022;21.09.2022
Аптека;Грузовой административный транспорт;21.09.2022;22.09.2022
ПМХ;Машина с носилками;21.09.2022;21.09.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );21.09.2022;21.09.2022
ВПС Зеленоград;Машина с носилками;21.09.2022;21.09.2022
ВПС Зеленоград;Машина с носилками;21.09.2022;21.09.2022
ВПС Некрасовка;Машина с носилками;21.09.2022;21.09.2022
ВПС Вороново;Машина с носилками;21.09.2022;21.09.2022
ВПС Хорошёво;Машина с носилками;21.09.2022;21.09.2022
ВПС Ростокино;Скорая помощь (Центр);21.09.2022;21.09.2022
ВПС Солнцево;Машина с носилками;21.09.2022;21.09.2022
ВПС Куркино;Машина с носилками;21.09.2022;21.09.2022
ВПС Куркино;Машина с носилками;21.09.2022;21.09.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );21.09.2022;21.09.2022
ВПС Савеловский;Машина с носилками;21.09.2022;21.09.2022
Куркино;Легковой административный транспорт;21.09.2022;22.09.2022
ВПС Солнцево;Машина с носилками;21.09.2022;21.09.2022
ВПС Перово;Машина с носилками;21.09.2022;22.09.2022
ВПС Савеловский;Машина с носилками;21.09.2022;22.09.2022
ВПС Преображенское;Машина с носилками;21.09.2022;21.09.2022
ВПС Ростокино;Машина с носилками;21.09.2022;21.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;21.09.2022;22.09.2022
ДСУ Коломенское;Скорая помощь (Центр);21.09.2022;22.09.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );21.09.2022;21.09.2022
ВПС Савеловский;Машина с носилками;21.09.2022;22.09.2022
Некрасовка;Машина с носилками;21.09.2022;22.09.2022
ВПС Савеловский;Машина с носилками;21.09.2022;21.09.2022
Зеленоград;Скорая помощь (Центр);21.09.2022;22.09.2022
Куркино;Машина с носилками;21.09.2022;22.09.2022
Куркино;Машина с носилками;21.09.2022;23.09.2022
Отдел МТО;Легковой административный транспорт;22.09.2022;22.09.2022
Координационный центр;Скорая помощь (Центр);22.09.2022;21.09.2022
Координационный центр;Скорая помощь (Центр);22.09.2022;21.09.2022
Координационный центр;Скорая помощь (Центр);22.09.2022;21.09.2022
Координационный центр;Скорая помощь (Центр);22.09.2022;21.09.2022
ПМХ;Машина с носилками;22.09.2022;22.09.2022
ВПС Куркино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );22.09.2022;22.09.2022
ВПС Солнцево;Машина с носилками;22.09.2022;22.09.2022
ВПС Хорошёво;Машина с носилками;22.09.2022;22.09.2022
Некрасовка;Машина с носилками;22.09.2022;23.09.2022
ВПС Куркино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );22.09.2022;22.09.2022
ВПС ПМХ;Машина с носилками;22.09.2022;22.09.2022
ВПС Солнцево;Машина с носилками;22.09.2022;23.09.2022
ВПС Куркино;Машина с носилками;22.09.2022;22.09.2022
ВПС Солнцево;Машина с носилками;22.09.2022;23.09.2022
ВПС Дегунино;Машина с носилками;22.09.2022;22.09.2022
ВПС Куркино;Машина с носилками;22.09.2022;22.09.2022
ВПС Куркино;Машина с носилками;22.09.2022;22.09.2022
ВПС Куркино;Машина с носилками;22.09.2022;22.09.2022
ДСУ Коломенское;Машина с носилками;22.09.2022;23.09.2022
ВПС Ростокино;Машина с носилками;22.09.2022;22.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;22.09.2022;23.09.2022
ВПС ПМХ;Скорая помощь (Центр);22.09.2022;23.09.2022
ВПС Ростокино;Машина с носилками;22.09.2022;22.09.2022
Царицыно;Машина с носилками;22.09.2022;23.09.2022
Бутово;Машина с носилками;22.09.2022;23.09.2022
Координационный центр;Машина с носилками;22.09.2022;22.09.2022
Царицыно;Машина с носилками;22.09.2022;23.09.2022
ВПС Черемушкинская;Машина с носилками;22.09.2022;23.09.2022
Аптека;Грузовой административный транспорт;22.09.2022;23.09.2022
ВПС Зеленоград;Машина с носилками;22.09.2022;23.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;22.09.2022;23.09.2022
Респ.центр;Машина без носилок (ВПС);22.09.2022;23.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;22.09.2022;23.09.2022
Отдел МТО;Легковой административный транспорт;23.09.2022;23.09.2022
Координационный центр;Скорая помощь (Центр);23.09.2022;22.09.2022
Администрация;Машина с носилками;23.09.2022;23.09.2022
Координационный центр;Машина с носилками;23.09.2022;24.09.2022
ВПС Дегунино;Машина с носилками;23.09.2022;23.09.2022
Администрация;Легковой административный транспорт;23.09.2022;26.09.2022
Администрация;Легковой административный транспорт;23.09.2022;26.09.2022
ВПС Дегунино;Машина с носилками;23.09.2022;23.09.2022
ВПС Ростокино;Машина с носилками;23.09.2022;23.09.2022
Координационный центр;Машина с носилками;23.09.2022;23.09.2022
Дегунино;Машина с носилками;23.09.2022;26.09.2022
Бутово;Машина с носилками;23.09.2022;23.09.2022
ВПС Куркино;Машина с носилками;23.09.2022;23.09.2022
ВПС Солнцево;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );23.09.2022;23.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;23.09.2022;23.09.2022
ВПС Перово;Машина с носилками;23.09.2022;23.09.2022
ВПС Куркино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );23.09.2022;23.09.2022
ДСУ Коломенское;Машина с носилками;23.09.2022;26.09.2022
ВПС Савеловский;Машина с носилками;23.09.2022;23.09.2022
ВПС Преображенское;Машина с носилками;23.09.2022;23.09.2022
Аптека;Грузовой административный транспорт;23.09.2022;23.09.2022
ВПС Дегунино;Машина с носилками;23.09.2022;26.09.2022
ЦНС №1 ул. Миллионщикова, д.1, стр.2;Легковой административный транспорт;23.09.2022;27.09.2022
ВПС Куркино;Машина с носилками;23.09.2022;23.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;23.09.2022;27.09.2022
Дегунино;Машина с носилками;23.09.2022;25.09.2022
ДСУ Люблино;Машина с носилками;23.09.2022;26.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;23.09.2022;26.09.2022
Некрасовка;Машина с носилками;23.09.2022;24.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;23.09.2022;26.09.2022
ВПС Солнцево;Машина с носилками;23.09.2022;24.09.2022
Некрасовка;Машина с носилками;23.09.2022;25.09.2022
ВПС ПМХ;Машина с носилками;23.09.2022;24.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;23.09.2022;26.09.2022
Респираторный центр;Машина с носилками;23.09.2022;24.09.2022
Респираторный центр;Машина с носилками;23.09.2022;24.09.2022
ВПС Перово;Машина с носилками;24.09.2022;26.09.2022
ВПС Савеловский;Машина с носилками;24.09.2022;24.09.2022
ВПС Савеловский;Машина с носилками;24.09.2022;24.09.2022
ВПС Бутово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );24.09.2022;24.09.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );24.09.2022;24.09.2022
Респ.центр;Машина с носилками;24.09.2022;24.09.2022
ВПС Люблино;Машина с носилками;24.09.2022;24.09.2022
ВПС Черемушкинская;Машина с носилками;24.09.2022;24.09.2022
ВПС Бутово;Машина с носилками;24.09.2022;24.09.2022
ВПС Савеловский;Машина с носилками;24.09.2022;24.09.2022
ВПС Ростокино;Машина с носилками;24.09.2022;24.09.2022
ПМХ;Машина с носилками;24.09.2022;24.09.2022
Координационный центр;Машина с носилками;24.09.2022;26.09.2022
ВПС Некрасовка;Машина с носилками;24.09.2022;26.09.2022
ВПС Черемушкинская;Машина с носилками;24.09.2022;24.09.2022
Координационный центр;Скорая помощь (Центр);24.09.2022;24.09.2022
Координационный центр;Скорая помощь (Центр);25.09.2022;24.09.2022
ВПС ПМХ;Машина с носилками;25.09.2022;25.09.2022
ВПС Хорошёво;Машина с носилками;25.09.2022;25.09.2022
ВПС Савеловский;Машина с носилками;25.09.2022;25.09.2022
ВПС Солнцево;Машина с носилками;25.09.2022;25.09.2022
ВПС Куркино;Машина с носилками;25.09.2022;25.09.2022
ВПС Савеловский;Машина с носилками;25.09.2022;25.09.2022
ВПС Царицыно;Машина с носилками;25.09.2022;25.09.2022
ВПС Дегунино;Машина с носилками;25.09.2022;28.09.2022
ВПС Солнцево;Скорая помощь (Центр);25.09.2022;25.09.2022
ВПС Вороново;Машина с носилками;25.09.2022;25.09.2022
ВПС Преображенское;Машина с носилками;25.09.2022;25.09.2022
ВПС Люблино;Машина без носилок (ВПС);25.09.2022;25.09.2022
ВПС Ростокино;Машина с носилками;25.09.2022;25.09.2022
ВПС Люблино;Машина с носилками;25.09.2022;25.09.2022
ВПС ПМХ;Машина с носилками;25.09.2022;25.09.2022
ВПС Перово;Машина с носилками;25.09.2022;25.09.2022
ВПС Люблино;Машина с носилками;25.09.2022;25.09.2022
ВПС Зеленоград;Машина с носилками;25.09.2022;26.09.2022
ВПС ПМХ;Скорая помощь (Центр);25.09.2022;27.09.2022
Бутово;Скорая помощь (Центр);25.09.2022;26.09.2022
Отдел МТО;Легковой административный транспорт;26.09.2022;26.09.2022
Аптека;Грузовой административный транспорт;26.09.2022;26.09.2022
ВПС ПМХ;Машина с носилками;26.09.2022;26.09.2022
ВПС Ростокино;Машина с носилками;26.09.2022;26.09.2022
ВПС ПМХ;Машина с носилками;26.09.2022;26.09.2022
ВПС Некрасовка;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );26.09.2022;26.09.2022
ВПС Савеловский;Машина с носилками;26.09.2022;26.09.2022
ВПС Ростокино;Машина с носилками;26.09.2022;26.09.2022
ДСУ Люблино;Машина с носилками;26.09.2022;27.09.2022
ДСУ Люблино;Машина с носилками;26.09.2022;27.09.2022
Зеленоград;Машина с носилками;26.09.2022;27.09.2022
ВПС Ростокино;Машина с носилками;26.09.2022;26.09.2022
ВПС ПМХ;Машина с носилками;26.09.2022;27.09.2022
ВПС Куркино;Машина с носилками;26.09.2022;26.09.2022
г.Москва, ул. Федеративный проспект д.17, стр 8 , хирургический корпус, 4 этаж, 405 палата;Машина с носилками;26.09.2022;26.09.2022
Социальная служба;Машина с носилками;26.09.2022;29.09.2022
Администрация;Легковой административный транспорт;26.09.2022;27.09.2022
ВПС Савеловский;Машина с носилками;26.09.2022;26.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;26.09.2022;27.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;26.09.2022;27.09.2022
Ростокино;Машина с носилками;26.09.2022;30.09.2022
Куркино;Машина с носилками;26.09.2022;26.09.2022
Аптека;Грузовой административный транспорт;26.09.2022;27.09.2022
Отдел МТО;Легковой административный транспорт;27.09.2022;27.09.2022
Координационный центр;Скорая помощь (Центр);27.09.2022;26.09.2022
Координационный центр;Скорая помощь (Центр);27.09.2022;26.09.2022
Администрация;Легковой административный транспорт;27.09.2022;28.09.2022
Администрация;Легковой административный транспорт;27.09.2022;28.09.2022
Администрация;Легковой административный транспорт;27.09.2022;29.09.2022
ВПС Савеловский;Машина с носилками;27.09.2022;27.09.2022
ВПС Савеловский;Машина с носилками;27.09.2022;27.09.2022
ВПС Царицыно;Машина с носилками;27.09.2022;27.09.2022
ДСУ Коломенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );27.09.2022;27.09.2022
ВПС ПМХ;Машина с носилками;27.09.2022;27.09.2022
ВПС Ростокино;Машина с носилками;27.09.2022;27.09.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );27.09.2022;27.09.2022
ВПС Люблино;Машина с носилками;27.09.2022;27.09.2022
ВПС Черемушкинская;Машина с носилками;27.09.2022;27.09.2022
Ростокино;Машина с носилками;27.09.2022;29.09.2022
ВПС Ростокино;Машина с носилками;27.09.2022;27.09.2022
ВПС Некрасовка;Машина с носилками;27.09.2022;27.09.2022
ВПС Некрасовка;Машина с носилками;27.09.2022;27.09.2022
Царицыно;Машина с носилками;27.09.2022;28.09.2022
ВПС Ростокино;Машина с носилками;27.09.2022;27.09.2022
Савеловский (1 ОПМПВ);Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );27.09.2022;27.09.2022
ДСУ Коломенское;Машина с носилками;27.09.2022;28.09.2022
ВПС ПМХ;Машина с носилками;27.09.2022;28.09.2022
ДСУ Коломенское;Машина с носилками;27.09.2022;28.09.2022
ВПС ПМХ;Машина с носилками;27.09.2022;28.09.2022
ПМДХ;Машина с носилками;27.09.2022;30.09.2022
ВПС Зеленоград;Машина с носилками;27.09.2022;27.09.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );27.09.2022;27.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;27.09.2022;28.09.2022
ВПС ПМХ;Машина с носилками;27.09.2022;28.09.2022
ПМХ;Машина с носилками;27.09.2022;28.09.2022
Аптека;Легковой административный транспорт;27.09.2022;28.09.2022
Ресурсный центр;Грузовой административный транспорт;27.09.2022;28.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;27.09.2022;28.09.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );27.09.2022;28.09.2022
Респираторный центр;Машина с носилками;27.09.2022;28.09.2022
ВПС Дегунино;Машина с носилками;27.09.2022;03.10.2022
Отдел МТО;Легковой административный транспорт;28.09.2022;28.09.2022
ВПС Преображенское;Машина с носилками;28.09.2022;28.09.2022
Аптека;Легковой административный транспорт;28.09.2022;28.09.2022
ВПС Дегунино;Машина с носилками;28.09.2022;28.09.2022
ВПС Ростокино;Машина с носилками;28.09.2022;28.09.2022
ВПС Хорошёво;Машина с носилками;28.09.2022;28.09.2022
ВПС Солнцево;Скорая помощь (Центр);28.09.2022;28.09.2022
ВПС Бутово;Машина с носилками;28.09.2022;28.09.2022
Дегунино;Машина с носилками;28.09.2022;29.09.2022
ВПС Перово;Машина с носилками;28.09.2022;28.09.2022
Куркино;Машина с носилками;28.09.2022;29.09.2022
ВПС Некрасовка;Машина с носилками;28.09.2022;28.09.2022
ВПС Ростокино;Скорая помощь (Центр);28.09.2022;28.09.2022
ВПС Некрасовка;Машина с носилками;28.09.2022;28.09.2022
ВПС Куркино;Машина с носилками;28.09.2022;29.09.2022
ВПС Люблино;Машина с носилками;28.09.2022;28.09.2022
Куркино;Машина с носилками;28.09.2022;30.09.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );28.09.2022;28.09.2022
ВПС ПМХ;Машина с носилками;28.09.2022;28.09.2022
ВПС Хорошёво;Машина с носилками;28.09.2022;28.09.2022
Некрасовка;Машина с носилками;28.09.2022;29.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;28.09.2022;29.09.2022
ДСУ Коломенское;Машина с носилками;28.09.2022;29.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;28.09.2022;30.09.2022
ДСУ Коломенское;Машина с носилками;28.09.2022;29.09.2022
Куркино;Легковой административный транспорт;28.09.2022;29.09.2022
Аптека;Грузовой административный транспорт;28.09.2022;29.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;28.09.2022;29.09.2022
ДСУ Коломенское;Машина с носилками;28.09.2022;29.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;28.09.2022;29.09.2022
ДСУ Коломенское;Машина без носилок (ВПС);28.09.2022;29.09.2022
ДСУ Люблино;Легковой административный транспорт;28.09.2022;03.10.2022
ПМДХ;Машина с носилками;28.09.2022;29.09.2022
Социальная служба;Легковой административный транспорт;28.09.2022;30.09.2022
Респ.центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );28.09.2022;29.09.2022
ВПС Ростокино;Машина с носилками;28.09.2022;30.09.2022
Координационный центр;Скорая помощь (Центр);29.09.2022;28.09.2022
Координационный центр;Скорая помощь (Центр);29.09.2022;28.09.2022
Координационный центр;Скорая помощь (Центр);29.09.2022;28.09.2022
Координационный центр;Скорая помощь (Центр);29.09.2022;28.09.2022
Координационный центр;Скорая помощь (Центр);29.09.2022;28.09.2022
Отдел МТО;Легковой административный транспорт;29.09.2022;29.09.2022
ВПС ПМХ;Машина с носилками;29.09.2022;29.09.2022
ВПС Хорошёво;Машина с носилками;29.09.2022;29.09.2022
ВПС Куркино;Машина с носилками;29.09.2022;29.09.2022
ВПС Куркино;Машина с носилками;29.09.2022;29.09.2022
ВПС Хорошёво;Машина с носилками;29.09.2022;29.09.2022
ВПС Черемушкинская;Машина с носилками;29.09.2022;29.09.2022
ВПС Бутово;Машина без носилок (ВПС);29.09.2022;29.09.2022
ВПС Преображенское;Машина с носилками;29.09.2022;29.09.2022
ВПС Савеловский;Машина с носилками;29.09.2022;29.09.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );29.09.2022;29.09.2022
Зеленоград;Машина с носилками;29.09.2022;29.09.2022
ВПС Хорошёво;Машина без носилок (ВПС);29.09.2022;29.09.2022
ДСУ Коломенское;Машина с носилками;29.09.2022;30.09.2022
ВПС Хорошёво;Машина с носилками;29.09.2022;29.09.2022
Медицинский архив;Легковой административный транспорт;29.09.2022;30.09.2022
ВПС Хорошёво;Машина с носилками;29.09.2022;29.09.2022
ВПС Бутово;Машина с носилками;29.09.2022;29.09.2022
Аптека;Грузовой административный транспорт;29.09.2022;30.09.2022
Зеленоград;Машина с носилками;29.09.2022;01.10.2022
Аптека;Грузовой административный транспорт;29.09.2022;30.09.2022
Царицыно;Машина с носилками;29.09.2022;30.09.2022
Савеловский (3 ОПМПВ);Машина с носилками;29.09.2022;30.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;29.09.2022;30.09.2022
ВПС Савеловский;Машина с носилками;29.09.2022;04.10.2022
Координационный центр;Скорая помощь (Центр);29.09.2022;29.09.2022
Отдел МТО;Легковой административный транспорт;30.09.2022;30.09.2022
ВПС Люблино;Машина с носилками;30.09.2022;30.09.2022
ВПС Солнцево;Машина с носилками;30.09.2022;30.09.2022
ВПС Ростокино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.09.2022;30.09.2022
ВПС Некрасовка;Машина с носилками;30.09.2022;30.09.2022
Зеленоград;Машина с носилками;30.09.2022;30.09.2022
ВПС Бутово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.09.2022;30.09.2022
ВПС Перово;Машина с носилками;30.09.2022;30.09.2022
ВПС Куркино;Машина с носилками;30.09.2022;30.09.2022
ВПС Куркино;Машина с носилками;30.09.2022;30.09.2022
ВПС ПМХ;Машина с носилками;30.09.2022;30.09.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.09.2022;30.09.2022
Некрасовка;Машина с носилками;30.09.2022;30.09.2022
ВПС Некрасовка;Машина с носилками;30.09.2022;30.09.2022
ВПС Некрасовка;Машина с носилками;30.09.2022;30.09.2022
ВПС Ростокино;Машина с носилками;30.09.2022;30.09.2022
ВПС ПМХ;Скорая помощь (Центр);30.09.2022;01.10.2022
ВПС Куркино;Машина с носилками;30.09.2022;30.09.2022
ДСУ Коломенское;Машина с носилками;30.09.2022;03.10.2022
ВПС ПМХ;Машина с носилками;30.09.2022;01.10.2022
ВПС Дегунино;Машина с носилками;30.09.2022;05.10.2022
Савеловский (1 ОПМПВ);Машина с носилками;30.09.2022;03.10.2022
ПМХ;Машина с носилками;30.09.2022;01.10.2022
ВПС Куркино;Машина с носилками;30.09.2022;30.09.2022
ВПС Савеловский;Машина с носилками;30.09.2022;30.09.2022
ВПС Савеловский;Машина с носилками;30.09.2022;03.10.2022
Администрация;Легковой административный транспорт;30.09.2022;03.10.2022
Администрация;Легковой административный транспорт;30.09.2022;03.10.2022
Администрация;Легковой административный транспорт;30.09.2022;04.10.2022
Администрация;Легковой административный транспорт;30.09.2022;05.10.2022
Бутово;Машина с носилками;30.09.2022;01.10.2022
Администрация;Легковой административный транспорт;30.09.2022;05.10.2022
Администрация;Легковой административный транспорт;30.09.2022;06.10.2022
Администрация;Легковой административный транспорт;30.09.2022;10.10.2022
Администрация;Легковой административный транспорт;30.09.2022;10.10.2022
Савеловский (4 ОПМПВ);Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.09.2022;30.09.2022
Ростокино;Машина с носилками;30.09.2022;03.10.2022
ДСУ Коломенское;Машина с носилками;30.09.2022;03.10.2022
ДСУ Коломенское;Машина с носилками;30.09.2022;01.10.2022
ДСУ Коломенское;Машина с носилками;30.09.2022;01.10.2022
ВПС Черемушкинская;Машина с носилками;01.10.2022;01.10.2022
ВПС Царицыно;Машина с носилками;01.10.2022;01.10.2022
ВПС Бутово;Машина с носилками;01.10.2022;01.10.2022
ВПС Черемушкинская;Машина с носилками;01.10.2022;01.10.2022
ВПС Бутово;Машина с носилками;01.10.2022;01.10.2022
ВПС Некрасовка;Машина с носилками;01.10.2022;01.10.2022
ВПС Перово;Машина с носилками;01.10.2022;01.10.2022
ВПС Преображенское;Машина с носилками;01.10.2022;01.10.2022
ВПС Царицыно;Машина с носилками;01.10.2022;01.10.2022
ВПС Преображенское;Скорая помощь (Центр);01.10.2022;01.10.2022
ВПС Куркино;Машина с носилками;01.10.2022;01.10.2022
ВПС Дегунино;Машина с носилками;01.10.2022;01.10.2022
ВПС Хорошёво;Машина с носилками;01.10.2022;01.10.2022
ВПС Хорошёво;Машина с носилками;01.10.2022;01.10.2022
ВПС Бутово;Машина с носилками;02.10.2022;02.10.2022
Респираторный центр;Машина с носилками;02.10.2022;02.10.2022
ВПС Перово;Машина с носилками;02.10.2022;02.10.2022
ВПС Царицыно;Машина с носилками;02.10.2022;02.10.2022
ВПС Солнцево;Машина с носилками;02.10.2022;02.10.2022
ВПС Некрасовка;Скорая помощь (Центр);02.10.2022;02.10.2022
ВПС Хорошёво;Машина с носилками;02.10.2022;02.10.2022
ВПС Некрасовка;Машина с носилками;02.10.2022;02.10.2022
Респираторный центр;Машина с носилками;02.10.2022;02.10.2022
ВПС Люблино;Машина с носилками;02.10.2022;02.10.2022
ВПС Некрасовка;Машина с носилками;02.10.2022;02.10.2022
ВПС Бутово;Машина с носилками;02.10.2022;02.10.2022
ВПС Савеловский;Машина с носилками;02.10.2022;02.10.2022
ДСУ Коломенское;Машина с носилками;02.10.2022;02.10.2022
Отдел МТО;Легковой административный транспорт;03.10.2022;03.10.2022
ВПС ПМХ;Машина с носилками;03.10.2022;03.10.2022
ВПС Солнцево;Машина с носилками;03.10.2022;03.10.2022
ВПС Савеловский;Машина с носилками;03.10.2022;03.10.2022
ВПС Куркино;Машина с носилками;03.10.2022;03.10.2022
ВПС Перово;Машина с носилками;03.10.2022;03.10.2022
ВПС Зеленоград;Машина с носилками;03.10.2022;03.10.2022
ВПС Вороново;Машина с носилками;03.10.2022;04.10.2022
Зеленоград;Машина с носилками;03.10.2022;03.10.2022
ВПС Перово;Машина с носилками;03.10.2022;03.10.2022
ВПС Вороново;Машина с носилками;03.10.2022;04.10.2022
ВПС ПМХ;Машина с носилками;03.10.2022;03.10.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );03.10.2022;03.10.2022
ВПС Перово;Машина с носилками;03.10.2022;03.10.2022
ВПС ПМХ;Машина с носилками;03.10.2022;03.10.2022
Некрасовка;Машина с носилками;03.10.2022;03.10.2022
Аптека;Грузовой административный транспорт;03.10.2022;04.10.2022
Дегунино;Машина с носилками;03.10.2022;04.10.2022
ВПС Царицыно;Машина с носилками;03.10.2022;03.10.2022
ВПС Люблино;Машина с носилками;03.10.2022;06.10.2022
ДСУ Люблино;Машина с носилками;03.10.2022;04.10.2022
Аптека;Грузовой административный транспорт;03.10.2022;04.10.2022
Бутово;Машина с носилками;03.10.2022;05.10.2022
Бутово;Машина с носилками;03.10.2022;06.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;03.10.2022;04.10.2022
Савеловский (4 ОПМПВ);Машина с носилками;03.10.2022;04.10.2022
ДСУ Люблино;Машина с носилками;03.10.2022;06.10.2022
ДСУ Люблино;Машина с носилками;03.10.2022;06.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;03.10.2022;04.10.2022
ВПС Хорошёво;Машина с носилками;03.10.2022;03.10.2022
ВПС Хорошёво;Машина с носилками;03.10.2022;03.10.2022
Царицыно;Машина с носилками;03.10.2022;04.10.2022
ДСУ Люблино;Машина с носилками;03.10.2022;05.10.2022
ВПС Люблино;Машина с носилками;03.10.2022;08.10.2022
Координационный центр;Скорая помощь (Центр);03.10.2022;03.10.2022
Координационный центр;Скорая помощь (Центр);03.10.2022;03.10.2022
Отдел МТО;Легковой административный транспорт;04.10.2022;04.10.2022
ВПС Дегунино;Машина с носилками;04.10.2022;04.10.2022
ВПС ПМХ;Машина с носилками;04.10.2022;04.10.2022
ВПС Дегунино;Машина с носилками;04.10.2022;04.10.2022
ВПС Царицыно;Машина с носилками;04.10.2022;04.10.2022
ВПС Зеленоград;Машина с носилками;04.10.2022;04.10.2022
ВПС Куркино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );04.10.2022;04.10.2022
ВПС Некрасовка;Машина с носилками;04.10.2022;04.10.2022
Аптека;Грузовой административный транспорт;04.10.2022;05.10.2022
Аптека;Грузовой административный транспорт;04.10.2022;06.10.2022
ВПС Бутово;Машина с носилками;04.10.2022;04.10.2022
ВПС Некрасовка;Машина с носилками;04.10.2022;04.10.2022
ВПС Преображенское;Машина с носилками;04.10.2022;04.10.2022
Бутово;Машина с носилками;04.10.2022;05.10.2022
ВПС ПМХ;Машина с носилками;04.10.2022;05.10.2022
ДСУ Люблино;Машина с носилками;04.10.2022;05.10.2022
ВПС Хорошёво;Машина с носилками;04.10.2022;04.10.2022
Савеловский (1 ОПМПВ);Машина с носилками;04.10.2022;06.10.2022
Ростокино;Машина с носилками;04.10.2022;06.10.2022
Зеленоград;Машина с носилками;04.10.2022;05.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;04.10.2022;05.10.2022
Респираторный центр;Машина с носилками;04.10.2022;05.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;04.10.2022;05.10.2022
ДСУ Коломенское;Машина с носилками;04.10.2022;06.10.2022
Отдел МТО;Легковой административный транспорт;05.10.2022;05.10.2022
ВПС Савеловский;Без машины;05.10.2022;05.10.2022
Координационный центр;Скорая помощь (Центр);05.10.2022;04.10.2022
